AMIE,NOMBRE,PROVINCIA,CANTON,LAT,LON,MD,M,JE
02H00015,UNIDAD EDUCATIVA ANGEL POLIBIO CHAVES,BOLIVAR,GUARANDA,-1.59701734077,-79.0011543927,23346.080000000005,12224,0.0
02H00126,EEB CARLOS  GUALBERTO GALARZA,BOLIVAR,GUARANDA,-1.59213839271,-79.0328664013,5836.520000000001,3056,5748.0
02H00131,UNIDAD EDUCATIVA DEL MILENIO INTERCULTURAL SALINAS,BOLIVAR,GUARANDA,-1.40442369857,-79.0163235546,5836.520000000001,3056,0.0
02H00185,UNIDAD EDUCATIVA FELIX GRANJA GAMAZO,BOLIVAR,GUARANDA,-1.29023555644,-78.9606467519,5836.520000000001,3056,0.0
02H00207,UNIDAD EDUCATIVA SIMON RODRIGUEZ,BOLIVAR,GUARANDA,-1.29770357749,-79.0167964428,5836.520000000001,3056,5748.0
02H00219,UNIDAD EDUCATIVA  DIEGO DE ALMAGRO,BOLIVAR,GUARANDA,-1.23302305514,-79.2406007824,11673.040000000003,6112,5748.0
02H00333,EEB DARIO C GUEVARA,BOLIVAR,CHILLANES,-1.95568758586,-79.2375512745,8754.780000000002,4584,0.0
02H00363,UNIDAD EDUCATIVA LA ASUNCION,BOLIVAR,CHIMBO,-1.66664027836,-79.0386704281,5836.520000000001,3056,0.0
02H00543,UNIDAD EDUCATIVA 8 DE  NOVIEMBRE,BOLIVAR,SAN MIGUEL,-1.76503749918,-79.1741606527,5836.520000000001,3056,0.0
05H00024,ESCUELA DE EDUCACION BASICA CLUB ROTARIO,COTOPAXI,LATACUNGA,-0.943473421139,-78.6155360921,8754.780000000002,4584,5748.0
05H00032,UNIDAD EDUCATIVA ONCE DE NOVIEMBRE,COTOPAXI,LATACUNGA,-0.938603631717,-78.6086495236,17509.560000000005,9168,5748.0
05H00039,UNIDAD EDUCATIVA RAMON PAEZ,COTOPAXI,LATACUNGA,-0.879484854128,-78.6408948513,8754.780000000002,4584,0.0
05H00047,UNIDAD EDUCATIVA DR JOSE MARIA VELASCO IBARRA,COTOPAXI,LATACUNGA,-0.94021120626,-78.6140232035,11673.040000000003,6112,0.0
